Source,Target,Type
274,545,Undireted
274,334,Undireted
274,117,Undireted
274,374,Undireted
274,613,Undireted
274,466,Undireted
275,611,Undireted
275,434,Undireted
275,584,Undireted
276,276,Undireted
276,296,Undireted
276,619,Undireted
276,494,Undireted
276,398,Undireted
276,598,Undireted
276,555,Undireted
554,451,Undireted
554,389,Undireted
554,577,Undireted
460,582,Undireted
460,587,Undireted
460,571,Undireted
460,385,Undireted
460,498,Undireted
281,404,Undireted
282,392,Undireted
282,285,Undireted
282,449,Undireted
282,341,Undireted
282,364,Undireted
283,350,Undireted
260,386,Undireted
260,294,Undireted
260,432,Undireted
260,458,Undireted
286,499,Undireted
286,368,Undireted
287,303,Undireted
288,536,Undireted
288,289,Undireted
288,434,Undireted
288,550,Undireted
288,340,Undireted
288,248,Undireted
288,455,Undireted
288,342,Undireted
288,323,Undireted
288,570,Undireted
288,459,Undireted
288,611,Undireted
288,576,Undireted
288,528,Undireted
288,350,Undireted
288,465,Undireted
288,317,Undireted
288,616,Undireted
288,351,Undireted
289,317,Undireted
289,122,Undireted
289,597,Undireted
289,505,Undireted
289,510,Undireted
289,343,Undireted
289,601,Undireted
289,340,Undireted
289,248,Undireted
289,325,Undireted
289,351,Undireted
290,563,Undireted
290,469,Undireted
290,498,Undireted
291,248,Undireted
292,421,Undireted
292,335,Undireted
292,612,Undireted
292,518,Undireted
292,328,Undireted
292,307,Undireted
293,570,Undireted
297,518,Undireted
297,448,Undireted
298,386,Undireted
298,360,Undireted
298,389,Undireted
299,377,Undireted
299,575,Undireted
299,538,Undireted
299,577,Undireted
299,299,Undireted
299,356,Undireted
300,303,Undireted
300,564,Undireted
300,611,Undireted
300,581,Undireted
302,536,Undireted
303,336,Undireted
304,369,Undireted
305,339,Undireted
305,583,Undireted
306,547,Undireted
307,518,Undireted
307,335,Undireted
307,524,Undireted
308,555,Undireted
618,393,Undireted
618,471,Undireted
312,389,Undireted
313,518,Undireted
313,524,Undireted
313,488,Undireted
314,446,Undireted
315,518,Undireted
315,524,Undireted
316,518,Undireted
317,550,Undireted
317,584,Undireted
317,505,Undireted
317,434,Undireted
317,324,Undireted
317,446,Undireted
317,372,Undireted
317,340,Undireted
317,603,Undireted
317,343,Undireted
317,611,Undireted
317,352,Undireted
317,576,Undireted
317,350,Undireted
317,404,Undireted
317,617,Undireted
318,447,Undireted
319,559,Undireted
319,494,Undireted
319,619,Undireted
319,522,Undireted
319,398,Undireted
319,365,Undireted
361,550,Undireted
361,576,Undireted
361,603,Undireted
361,611,Undireted
361,616,Undireted
321,404,Undireted
321,389,Undireted
323,434,Undireted
323,550,Undireted
323,340,Undireted
323,610,Undireted
323,498,Undireted
324,422,Undireted
324,372,Undireted
324,611,Undireted
324,616,Undireted
325,505,Undireted
327,518,Undireted
327,480,Undireted
328,508,Undireted
328,518,Undireted
328,524,Undireted
328,596,Undireted
328,491,Undireted
329,609,Undireted
329,545,Undireted
329,382,Undireted
329,311,Undireted
329,441,Undireted
329,374,Undireted
330,436,Undireted
332,494,Undireted
570,340,Undireted
570,505,Undireted
570,343,Undireted
335,518,Undireted
335,414,Undireted
337,498,Undireted
364,360,Undireted
364,397,Undireted
364,458,Undireted
364,432,Undireted
339,583,Undireted
339,444,Undireted
340,473,Undireted
340,355,Undireted
340,505,Undireted
340,342,Undireted
340,434,Undireted
340,550,Undireted
340,440,Undireted
340,343,Undireted
340,446,Undireted
340,601,Undireted
340,603,Undireted
340,248,Undireted
340,568,Undireted
340,459,Undireted
340,351,Undireted
340,39,Undireted
340,465,Undireted
340,611,Undireted
340,616,Undireted
340,581,Undireted
340,498,Undireted
342,372,Undireted
342,597,Undireted
342,343,Undireted
342,351,Undireted
343,536,Undireted
343,434,Undireted
343,558,Undireted
343,372,Undireted
343,248,Undireted
343,459,Undireted
343,611,Undireted
343,465,Undireted
343,616,Undireted
343,550,Undireted
383,442,Undireted
383,611,Undireted
344,377,Undireted
345,391,Undireted
345,435,Undireted
345,451,Undireted
345,531,Undireted
345,580,Undireted
346,599,Undireted
347,488,Undireted
347,518,Undireted
347,543,Undireted
347,524,Undireted
348,518,Undireted
350,389,Undireted
350,434,Undireted
350,446,Undireted
350,463,Undireted
350,404,Undireted
350,603,Undireted
350,611,Undireted
350,413,Undireted
575,436,Undireted
353,374,Undireted
353,311,Undireted
353,441,Undireted
353,545,Undireted
354,498,Undireted
355,550,Undireted
355,603,Undireted
355,616,Undireted
356,377,Undireted
358,467,Undireted
358,494,Undireted
358,555,Undireted
359,404,Undireted
360,479,Undireted
360,404,Undireted
360,568,Undireted
360,389,Undireted
362,478,Undireted
363,401,Undireted
363,388,Undireted
363,368,Undireted
338,505,Undireted
338,607,Undireted
365,398,Undireted
365,522,Undireted
365,555,Undireted
367,539,Undireted
369,73,Undireted
45,518,Undireted
45,461,Undireted
45,524,Undireted
372,550,Undireted
372,465,Undireted
372,603,Undireted
372,611,Undireted
372,616,Undireted
372,389,Undireted
374,382,Undireted
374,119,Undireted
374,117,Undireted
374,441,Undireted
374,516,Undireted
374,400,Undireted
374,311,Undireted
374,334,Undireted
374,609,Undireted
374,613,Undireted
375,404,Undireted
375,432,Undireted
377,608,Undireted
377,538,Undireted
377,450,Undireted
377,563,Undireted
381,248,Undireted
382,545,Undireted
385,587,Undireted
385,571,Undireted
385,352,Undireted
385,498,Undireted
386,404,Undireted
386,458,Undireted
386,432,Undireted
387,425,Undireted
387,530,Undireted
387,390,Undireted
389,432,Undireted
389,458,Undireted
389,446,Undireted
389,451,Undireted
389,454,Undireted
389,531,Undireted
395,518,Undireted
395,508,Undireted
395,524,Undireted
397,600,Undireted
397,581,Undireted
398,522,Undireted
398,598,Undireted
398,555,Undireted
399,197,Undireted
399,597,Undireted
400,516,Undireted
400,119,Undireted
400,545,Undireted
400,334,Undireted
400,117,Undireted
400,613,Undireted
400,466,Undireted
404,446,Undireted
404,458,Undireted
405,540,Undireted
175,576,Undireted
175,611,Undireted
19,572,Undireted
410,505,Undireted
39,509,Undireted
39,576,Undireted
39,603,Undireted
413,597,Undireted
414,518,Undireted
415,393,Undireted
416,248,Undireted
417,578,Undireted
418,440,Undireted
418,506,Undireted
421,546,Undireted
421,518,Undireted
421,524,Undireted
421,595,Undireted
421,491,Undireted
423,555,Undireted
103,567,Undireted
426,459,Undireted
426,611,Undireted
427,478,Undireted
427,535,Undireted
428,524,Undireted
117,516,Undireted
117,119,Undireted
117,545,Undireted
117,334,Undireted
117,613,Undireted
117,466,Undireted
430,518,Undireted
432,479,Undireted
432,611,Undireted
432,454,Undireted
434,505,Undireted
434,584,Undireted
434,597,Undireted
434,352,Undireted
436,611,Undireted
436,531,Undireted
436,489,Undireted
437,521,Undireted
437,452,Undireted
438,527,Undireted
378,604,Undireted
441,545,Undireted
441,311,Undireted
442,129,Undireted
443,590,Undireted
76,483,Undireted
446,558,Undireted
446,584,Undireted
446,603,Undireted
446,611,Undireted
446,616,Undireted
446,505,Undireted
447,606,Undireted
448,572,Undireted
448,518,Undireted
448,585,Undireted
448,602,Undireted
448,487,Undireted
449,608,Undireted
449,450,Undireted
449,611,Undireted
449,553,Undireted
450,538,Undireted
248,499,Undireted
248,550,Undireted
248,505,Undireted
248,599,Undireted
248,611,Undireted
248,352,Undireted
248,498,Undireted
457,518,Undireted
457,524,Undireted
458,479,Undireted
458,611,Undireted
459,555,Undireted
279,501,Undireted
461,574,Undireted
465,505,Undireted
466,516,Undireted
466,119,Undireted
466,334,Undireted
466,613,Undireted
467,494,Undireted
467,555,Undireted
468,499,Undireted
469,563,Undireted
469,498,Undireted
469,505,Undireted
470,352,Undireted
470,470,Undireted
470,368,Undireted
474,498,Undireted
474,550,Undireted
476,368,Undireted
477,521,Undireted
478,535,Undireted
478,486,Undireted
478,497,Undireted
480,518,Undireted
487,518,Undireted
490,33,Undireted
491,508,Undireted
491,566,Undireted
491,612,Undireted
491,579,Undireted
491,515,Undireted
494,522,Undireted
494,598,Undireted
494,555,Undireted
495,539,Undireted
498,505,Undireted
498,587,Undireted
498,571,Undireted
498,352,Undireted
498,530,Undireted
498,563,Undireted
498,511,Undireted
500,513,Undireted
501,547,Undireted
501,502,Undireted
501,126,Undireted
501,527,Undireted
501,605,Undireted
502,547,Undireted
502,502,Undireted
502,126,Undireted
503,311,Undireted
504,518,Undireted
505,592,Undireted
505,550,Undireted
505,599,Undireted
505,611,Undireted
507,546,Undireted
508,518,Undireted
515,518,Undireted
515,612,Undireted
516,334,Undireted
516,119,Undireted
516,545,Undireted
516,613,Undireted
518,543,Undireted
518,585,Undireted
518,595,Undireted
518,596,Undireted
518,546,Undireted
518,602,Undireted
518,524,Undireted
518,566,Undireted
518,572,Undireted
518,573,Undireted
518,612,Undireted
518,532,Undireted
518,579,Undireted
519,584,Undireted
522,559,Undireted
522,619,Undireted
522,598,Undireted
522,555,Undireted
523,605,Undireted
524,586,Undireted
524,541,Undireted
524,543,Undireted
524,551,Undireted
524,596,Undireted
524,488,Undireted
524,566,Undireted
524,579,Undireted
497,535,Undireted
119,545,Undireted
119,334,Undireted
119,613,Undireted
527,547,Undireted
368,352,Undireted
536,558,Undireted
538,608,Undireted
545,311,Undireted
545,334,Undireted
545,609,Undireted
545,613,Undireted
219,548,Undireted
546,546,Undireted
546,595,Undireted
547,591,Undireted
548,556,Undireted
555,565,Undireted
555,619,Undireted
555,598,Undireted
558,603,Undireted
558,616,Undireted
334,613,Undireted
571,587,Undireted
572,572,Undireted
352,616,Undireted
576,584,Undireted
576,601,Undireted
576,603,Undireted
578,550,Undireted
578,588,Undireted
584,550,Undireted
584,603,Undireted
584,611,Undireted
488,596,Undireted
589,601,Undireted
591,605,Undireted
556,556,Undireted
615,611,Undireted
597,601,Undireted
597,603,Undireted
597,611,Undireted
601,603,Undireted
601,616,Undireted
603,616,Undireted
311,613,Undireted
